0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,2,2.0
0,0,0
0,0,0
0,0,0.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0.0
0,0,0
0,0,0
0,0,0
0,0,0.0
3,3,3.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,5,5.0
0,0,0
1,1,1.0
0,0,0.0
1,1,1.0
0,1,0.5
2,3,2.5
0,0,0
0,1,0.5
0,0,0
1,2,1.5
2,4,3.0
0,0,0
8,8,8.0
0,0,0.0
0,0,0.0
1,1,1.0
0,3,1.5
0,0,0.0
5,5,5.0
3,3,3.0
0,0,0
1,2,1.5
0,0,0.0
2,2,2.0
4,4,4.0
1,2,1.5
0,2,0.6666666666666666
1,1,1.0
0,0,0
0,0,0.0
3,3,3.0
0,0,0
2,3,2.3333333333333335
0,0,0
1,2,1.5
0,0,0
6,6,6.0
4,4,4.0
0,0,0
0,5,2.6666666666666665
0,0,0
2,3,2.5
7,10,8.5
0,0,0
0,7,3.5
0,8,3.0
0,0,0.0
3,7,5.0
0,7,3.5
2,9,5.0
5,11,8.0
7,7,7.0
5,9,6.25
4,7,5.5
1,5,3.0
9,9,9.0
2,10,6.0
6,6,6.0
10,10,10.0
2,15,7.5
2,5,3.6666666666666665
3,7,4.666666666666667
0,3,2.0
2,2,2.0
10,10,10.0
6,6,6.0
6,10,8.333333333333334
2,10,6.0
3,5,4.0
2,5,3.5
